Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCS Build Date = May 23 2017 20:49:19
Start run at Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
time=    0 ns, clk=0, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=xxxxxxxx, pcout=xxxxxxxx, regwrite=x, wrAddr=xxxxx, rdAddr1=xxxxx, rdAddr2=xxxxx, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time= 2016 ns, clk=1, reset=0, memdata=00000000, memread=1, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000a, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=00000002, Ain=00000000, Bin=00000000
time= 2016 ns, clk=1, reset=0, memdata=00000000, memread=1, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000a, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=00000002, Ain=00000000, Bin=00000000
time= 2304 ns, clk=0, reset=0, memdata=8c01001f, memread=1, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000a, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=00000002, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=1, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000a, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=00000002, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000a, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=00000002, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00001, wrData=00000002, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000a, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=00000000
time= 2592 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=00000000
time= 2593 ns, clk=1, reset=0, memdata=8c01001f, memread=0, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
time= 2880 ns, clk=0, reset=0, memdata=8c020020, memread=0, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
time= 3168 ns, clk=1, reset=0, memdata=8c020020, memread=0, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
time= 3168 ns, clk=1, reset=0, memdata=8c020020, memread=1, memwrite=0, addr=0000000b, writedata=00000000, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
time= 3168 ns, clk=1, reset=0, memdata=8c020020, memread=1, memwrite=0, addr=0000000b, writedata=00000X0X, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
time= 3168 ns, clk=1, reset=0, memdata=8c020020, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000000b, Ain=00000000, Bin=xxxxxxxx
